Vehicle Model,Battery Capacity (kWh),Charging Station Location,Charging Start Time,Charging Duration (hours),Charging Rate (kW),Energy Consumed (kWh),State of Charge (Start %),State of Charge (End %),Temperature (°C),Vehicle Age (years),Charger Type,User Type
Chevy Bolt,64.02485095257549,Chicago,2024-02-25 23:00:00,3.1754677217524576,,12.527715135157187,43.811371014674556,65.99027951478786,18.645148650381397,4,Level 1,Long-Distance Traveler
Nissan Leaf,52.514812878014865,Houston,2024-02-07 18:00:00,3.1521936769165277,4.829464120428901,13.862728407472732,36.78084759696022,65.09629383457278,16.959566694332917,2,Level 1,Casual Driver
Tesla Model 3,74.94116277080947,New York,2024-01-11 18:00:00,3.579029198996115,4.604393620245329,16.859914863391626,48.27496184778269,70.5892701242784,-9.4004236205184,6,Level 1,Commuter
Tesla Model 3,76.61545760852765,Houston,2024-03-20 05:00:00,2.164676428875464,20.04647193043786,37.81174868151908,29.138596233704483,78.09578367320319,43.20335691407038,2,Level 2,Commuter
Hyundai Kona,61.92934096834207,Chicago,2024-02-21 13:00:00,2.520408983287279,6.4301904667569385,15.172610324532132,66.39151038107423,95.86817610359553,,3,Level 1,Casual Driver
BMW i3,51.528365049061556,Houston,2024-03-10 16:00:00,1.9848619127511213,19.16369142671209,22.64893115055772,50.8541764009119,90.797900308021,-9.248681682094464,7,Level 2,Commuter
Hyundai Kona,63.455701469385936,San Francisco,2024-01-20 21:00:00,4.136757112349491,22.642402664592176,56.621355235763325,54.02307097950891,100.0,22.96559518650625,4,Level 2,Casual Driver
Hyundai Kona,62.69405087989546,San Francisco,2024-01-24 20:00:00,1.0877484201625962,,33.59498487801169,20.757436175394805,77.75263773778167,17.559328167781647,1,DC Fast Charger,Commuter
Hyundai Kona,70.37604669988443,Houston,2024-01-08 17:00:00,4.833292791088985,7.508411788848478,18.701092691609144,15.957830227345262,46.98644967579597,4.186811723351951,9,Level 1,Long-Distance Traveler
Hyundai Kona,60.610089264622246,New York,2024-01-07 08:00:00,3.356762701906478,5.958703168663461,18.79526295221756,30.632151551130995,61.228619436039054,23.711635289291106,6,Level 1,Commuter
Chevy Bolt,52.29183779354487,New York,2024-02-21 22:00:00,4.491080259764791,25.15851853867286,72.25215426624214,54.833711546850004,100.0,8.69415373772478,9,Level 2,Casual Driver
Chevy Bolt,65.29380227727417,New York,2024-03-25 01:00:00,2.4180415621914393,20.44950603311588,35.563832158074646,66.02173413393574,100.0,22.31639154598937,3,Level 2,Casual Driver
Nissan Leaf,37.04226396163927,Houston,2024-01-20 19:00:00,1.9952558167639851,9.492413344534864,17.75363988723987,32.776438688310506,76.40122068427468,11.581883919329956,5,Level 1,Long-Distance Traveler
Tesla Model 3,67.1963197785919,New York,2024-01-17 14:00:00,4.5532661455579255,55.218357598317226,162.59761346936455,55.32019151231579,100.0,9.13305059024017,9,DC Fast Charger,Casual Driver
Hyundai Kona,78.7003371100123,Chicago,2024-02-10 01:00:00,0.9449286299433626,51.548682718493644,34.586439464495406,35.576495265342615,79.07932302544042,19.813593823574973,6,DC Fast Charger,Commuter
Nissan Leaf,39.10701598388644,San Francisco,2024-01-24 03:00:00,1.0269825417737501,6.584645466720183,6.815221113884068,24.189836221105146,43.01156746102041,0.5348842619543817,2,Level 1,Commuter
Tesla Model 3,78.95380865837866,Chicago,2024-03-07 07:00:00,1.847060494181048,3.9619805493427545,8.230190095100271,53.0522347971801,64.9013717382183,19.009553292678603,1,Level 1,Long-Distance Traveler
BMW i3,42.17716944604666,New York,2024-03-18 10:00:00,4.818987417948433,29.06774702336961,90.7288029370574,56.88313870878627,100.0,27.88704533615588,9,Level 2,Casual Driver
Chevy Bolt,54.68208305777803,Chicago,2024-03-04 07:00:00,3.348808744392982,18.596114607913503,42.370108513942455,18.184651615244213,94.41132964851454,35.247329488826495,1,Level 2,Long-Distance Traveler
Tesla Model 3,,New York,2024-03-12 12:00:00,2.9938716347692917,7.181464268804438,25.159596706890888,24.836017632946493,55.03789691887415,33.06281856792971,5,Level 1,Commuter
BMW i3,43.887473902720345,Houston,2024-01-27 08:00:00,3.674103513599393,23.71902161767941,62.403165780129164,37.16049482578804,100.0,36.239966190263914,1,Level 2,Long-Distance Traveler
Tesla Model 3,69.72496134688055,Chicago,2024-03-11 19:00:00,2.378635502351748,21.082442202109704,36.579511597714436,17.123918934846984,64.20175736534995,14.543431685244611,5,Level 2,Casual Driver
Chevy Bolt,62.59914202713803,Houston,2024-01-17 21:00:00,3.9113307563935966,9.709202108716056,26.52865037064479,65.37422941899652,100.0,,5,Level 1,Long-Distance Traveler
Chevy Bolt,56.91413943521999,Houston,2024-03-24 12:00:00,2.269538140877949,15.893145412956267,25.179884761646296,43.43670431644865,92.89298367665312,29.784276339242467,7,Level 2,Casual Driver
Nissan Leaf,34.47752319945735,Los Angeles,2024-03-10 15:00:00,4.218634331854091,63.871478455898696,166.83059511217823,12.878213029160024,100.0,13.797279908141164,7,DC Fast Charger,Casual Driver
Hyundai Kona,55.560329219535134,New York,2024-02-17 17:00:00,1.7028278693442704,8.343115115016632,15.2766437776145,16.961941204360034,41.644306229016294,20.075147363122664,1,Level 1,Commuter
Tesla Model 3,77.16046896770384,San Francisco,2024-01-06 14:00:00,1.748959966841109,,11.538040816424271,67.03309744611488,84.54577179111114,28.96240413002457,9,Level 1,Commuter
Tesla Model 3,71.93815256057245,New York,2024-03-04 05:00:00,2.850724874420308,20.823850030343557,43.589004302125716,52.98095807028019,100.0,44.25317324464622,1,Level 2,Commuter
BMW i3,51.01022411426377,San Francisco,2024-02-07 01:00:00,2.4384252126278083,32.265427968769266,47.712883875316265,52.736330492824095,100.0,26.34560612141658,5,DC Fast Charger,Casual Driver
Chevy Bolt,59.74225131997226,New York,2024-03-16 16:00:00,3.416521299281129,43.21413783865519,95.54745587989764,9.712408610328545,100.0,22.461235789407823,7,DC Fast Charger,Long-Distance Traveler
Tesla Model 3,68.71837365237134,Houston,2024-03-16 21:00:00,2.1393083960311055,20.230481224934785,26.967028623440548,63.19442445108156,100.0,6.546669392115586,8,Level 2,Casual Driver
Chevy Bolt,60.946905831863475,Chicago,2024-02-10 07:00:00,1.5374779208166507,22.88052488015454,30.325586933124313,33.8427985663093,84.64197261363765,34.03226508270431,2,Level 2,Commuter
Tesla Model 3,64.64586142740315,Chicago,2024-03-02 21:00:00,2.6141385329730547,,47.925153981262234,47.881625971595206,100.0,24.903714329457276,1,Level 2,Commuter
Nissan Leaf,39.57934379737649,Los Angeles,2024-01-17 22:00:00,3.024304247737158,32.187728124144755,69.94298647909997,67.37979924241091,100.0,15.834296358026844,4,Level 2,Long-Distance Traveler
Hyundai Kona,66.23416743534793,San Francisco,2024-03-03 16:00:00,1.1417002422336069,7.544534197605146,10.067446924206545,11.500804723176199,27.793729590705613,14.59497975032686,4,Level 1,Commuter
Tesla Model 3,76.56537846108245,San Francisco,2024-03-02 05:00:00,3.0052338157992438,7.411218624285931,19.903096490191523,36.347969866627615,65.4737775349376,15.117648548719885,6,Level 1,Commuter
Chevy Bolt,67.81679958311855,San Francisco,2024-01-11 08:00:00,1.9366551736155357,6.0192964649762635,5.096458555292901,8.224827883025565,14.199256061996602,20.52758243333892,1,Level 1,Commuter
Nissan Leaf,52.98758562922225,Houston,2024-03-08 22:00:00,2.2660334819082855,13.42449928338565,28.588785582158028,37.470452516041505,89.7150909946613,2.4919159223583485,1,Level 2,Long-Distance Traveler
Tesla Model 3,80.37117897073028,San Francisco,2024-02-17 02:00:00,1.7569315807847656,5.788426947589567,12.465333007308885,21.39686168169212,38.84914552804717,34.61627365663573,3,Level 1,Casual Driver
BMW i3,49.07277796671312,Chicago,2024-02-02 09:00:00,4.6913464750687695,48.355991362031816,149.37551947391066,64.21925940280158,100.0,32.41608076766546,5,DC Fast Charger,Commuter
Hyundai Kona,81.80423861760067,Houston,2024-01-21 20:00:00,3.5750132657609623,8.950788841330324,25.248493054621544,30.902012127750645,60.06825784616406,17.9901397815145,6,Level 1,Long-Distance Traveler
Tesla Model 3,66.9501932174682,New York,2024-03-18 14:00:00,1.6810714013030752,8.039029063163893,11.812096423379376,46.20170899338515,64.7606736946898,15.144206205558094,5,Level 1,Commuter
Nissan Leaf,40.65313704387504,San Francisco,2024-01-16 15:00:00,3.4026410054837757,23.1077261195053,48.044291181020185,60.91867221294569,100.0,19.72186754258167,5,Level 2,Long-Distance Traveler
BMW i3,39.132020807480046,San Francisco,2024-02-06 04:00:00,4.318575843119207,19.095999532553737,56.12728568819973,68.93997079711647,100.0,21.758741907038473,9,Level 2,Commuter
Nissan Leaf,44.21328855130536,New York,2024-01-04 15:00:00,2.307335937497459,3.035766501911738,10.279243050961519,37.748259071355484,60.67099935249934,16.398839646974984,2,Level 1,Long-Distance Traveler
Nissan Leaf,41.3580945973831,San Francisco,2024-01-09 15:00:00,4.23480879120282,3.1564879025346917,5.43103719912773,34.62425068599463,48.30480031928755,31.98902071979476,1,Level 1,Commuter
BMW i3,37.089406080576396,New York,2024-02-26 22:00:00,1.1948672495299657,36.6901082644639,25.830332662263054,9.923076944269816,77.96515179787781,2.910701947897209,6,DC Fast Charger,Casual Driver
Nissan Leaf,40.05473908173522,Houston,2024-02-11 13:00:00,4.202516141897757,6.4159866475905645,22.7665163323935,5.8280313169189775,65.44379764476423,11.456765960783162,9,Level 1,Commuter
BMW i3,48.28153643793531,Chicago,2024-01-22 11:00:00,2.9313240920256485,8.98808887543598,16.94785940741756,44.57213601240225,81.12427783191316,29.30290390236871,7,Level 1,Long-Distance Traveler
Tesla Model 3,64.57020295179947,New York,2024-02-05 00:00:00,1.5033851960449194,57.73652455968707,53.06373522415178,9.255182889596991,90.60387242910227,23.89131850974644,8,DC Fast Charger,Commuter
BMW i3,37.215932666166125,Los Angeles,2024-01-12 17:00:00,2.332136230501601,8.587431524154873,15.822686571561816,29.72463090750076,72.64147455765345,11.845504995099475,5,Level 1,Casual Driver
BMW i3,36.31634948974915,New York,2024-02-05 08:00:00,4.945968466009775,19.424522582409804,61.49883275892234,5.234418346919997,100.0,24.805621600364365,4,Level 2,Commuter
Hyundai Kona,66.28477588840838,San Francisco,2024-02-06 20:00:00,4.0260020748909175,27.72131583058555,69.1450188941831,44.9897874327686,100.0,,6,Level 2,Long-Distance Traveler
BMW i3,49.443096477689764,Houston,2024-02-09 18:00:00,3.0878886262330187,5.137858847420313,22.136529492375196,32.65198542863226,76.86118195072993,16.278610030649293,3,Level 1,Long-Distance Traveler
BMW i3,30.0,Houston,2024-02-26 01:00:00,1.018237603570365,8.706786877717752,8.000524968831602,13.25635003610871,34.614359979970075,32.52462734650944,1,Level 1,Casual Driver
Tesla Model 3,75.75518850782866,New York,2024-01-26 04:00:00,2.3801521230567513,3.650847360423889,4.99393393292506,24.263894444653435,30.93829819099596,31.19700292478217,4,Level 1,Long-Distance Traveler
Hyundai Kona,57.53045497907371,Chicago,2024-01-01 11:00:00,1.6837318130537178,4.645775512225564,2.0,42.02794543317509,46.4593886498519,23.458841093167088,9,Level 1,Commuter
Chevy Bolt,66.0324166489799,Los Angeles,2024-02-17 07:00:00,0.8195048577742561,10.305230121941127,14.510747901764557,47.686368920648505,77.04603769907365,7.386211552960802,4,Level 1,Commuter
Tesla Model 3,73.10425379542997,Houston,2024-01-25 16:00:00,2.9399197492369176,20.98082693085398,36.681866870727646,35.051832178124045,86.54895400012262,15.468138198862764,1,Level 2,Commuter
Tesla Model 3,76.04539151261918,San Francisco,2024-01-23 04:00:00,4.501335649283942,18.595150702917753,55.99461953129413,57.25734254591148,100.0,21.15758771371248,4,Level 2,Long-Distance Traveler
Chevy Bolt,59.99197802878764,San Francisco,2024-02-12 18:00:00,3.5401994067835627,27.51379354332827,59.54547320149949,12.30862676069407,100.0,37.465056656783204,7,Level 2,Commuter
BMW i3,48.74531281913907,Chicago,2024-01-30 18:00:00,1.6235617459123004,59.73897298845817,60.53868604386855,10.495471969806506,100.0,-1.3884332037124665,3,DC Fast Charger,Commuter
Nissan Leaf,50.243157653988916,Houston,2024-01-19 18:00:00,3.081130731292051,19.83359595950389,41.897178783806886,7.87587748615754,89.7668297074533,9.534271437201689,6,Level 2,Commuter
Hyundai Kona,56.05734269082991,New York,2024-01-05 09:00:00,4.74455427506136,7.556926905884274,19.72544323395286,39.82880956421374,73.57240604956776,33.54324070546611,1,Level 1,Casual Driver
Nissan Leaf,35.23721941002674,San Francisco,2024-01-23 11:00:00,3.7531177381532093,51.095259403257145,116.71174000755143,50.90506077523976,100.0,36.32200493352795,4,DC Fast Charger,Long-Distance Traveler
Chevy Bolt,61.928987415328244,Chicago,2024-01-03 12:00:00,3.6026325473304377,3.0,7.790698150551547,13.483890962464432,24.857019150301173,19.163435152666395,3,Level 1,Long-Distance Traveler
Tesla Model 3,68.46878121358465,Houston,2024-03-02 03:00:00,4.856711748023823,4.208279842472545,13.467361276044649,46.53146542060051,65.50811089993469,38.46080889467892,1,Level 1,Long-Distance Traveler
Tesla Model 3,82.46867016320219,Houston,2024-02-10 14:00:00,4.094929900328111,26.711272070910383,69.25823892854297,36.00160480231976,100.0,11.199546146942843,3,Level 2,Casual Driver
Hyundai Kona,71.65882221359035,Houston,2024-02-25 06:00:00,1.1148059439443845,,13.20584619276246,69.17739250982248,87.66141902178695,1.8891271512365648,4,Level 2,Long-Distance Traveler
Tesla Model 3,70.62738950202834,Houston,2024-01-03 16:00:00,2.0643578913929064,24.64918948032532,40.607570757159834,51.63578460231675,100.0,29.482763308149533,5,Level 2,Casual Driver
Tesla Model 3,68.8917018668682,Houston,2024-01-30 17:00:00,4.843133153319587,7.526080902691067,24.201326749341746,47.73576678745568,79.0889800440473,35.53645891534633,6,Level 1,Casual Driver
Hyundai Kona,62.076546848430965,San Francisco,2024-02-15 06:00:00,2.7036742738909902,28.07716385063941,53.29243007050603,42.0792327667024,100.0,35.33635030378554,2,Level 2,Long-Distance Traveler
Hyundai Kona,64.72812749774113,Chicago,2024-01-09 22:00:00,1.002368503945334,,9.01427755756686,69.82880180073074,85.05705522687981,,2,Level 1,Commuter
Chevy Bolt,61.88902313937115,Houston,2024-01-22 15:00:00,2.563721958525538,53.15364672769002,79.0901371227964,68.72984610554752,100.0,22.392558353828015,6,DC Fast Charger,Commuter
Tesla Model 3,56.977463527606645,Los Angeles,2024-03-12 20:00:00,3.6364695533186033,6.869171083729112,17.381759964098677,39.9774831571439,68.76006248723442,30.07781656352052,5,Level 1,Long-Distance Traveler
Tesla Model 3,67.26035584919906,Los Angeles,2024-03-30 18:00:00,4.988966997565585,43.68180527460042,135.42214816560866,34.58691757672701,100.0,23.61173255878034,1,DC Fast Charger,Long-Distance Traveler
Chevy Bolt,57.575403906776494,Chicago,2024-01-20 09:00:00,1.9575739245344084,18.01601794860381,27.8100096965857,35.0374699756139,82.82848064786671,37.35628050975372,3,Level 2,Casual Driver
BMW i3,37.21806400951868,New York,2024-01-11 20:00:00,2.813390936956732,51.819847046605304,89.28190253147893,32.842255371018766,100.0,15.139449713584682,5,DC Fast Charger,Long-Distance Traveler
BMW i3,30.0,New York,2024-03-22 06:00:00,4.458563170924073,25.148350855258958,75.24250870055172,39.54088995476094,100.0,19.15261027614189,2,Level 2,Casual Driver
BMW i3,30.66976520787184,New York,2024-03-17 12:00:00,2.098702481258001,22.317981412721473,31.608911861142957,22.782977407934098,100.0,22.834285538065966,1,Level 2,Long-Distance Traveler
Chevy Bolt,52.1678488464938,Los Angeles,2024-03-02 18:00:00,0.9916770046588576,7.1894285037145576,11.13493065391586,65.24127090243772,90.2139570981777,,9,Level 1,Commuter
Tesla Model 3,74.07772639317425,New York,2024-03-28 14:00:00,4.770211437506768,6.0030111919279525,19.548500066022605,36.864955295025794,62.14706238731937,17.666483225578364,5,Level 1,Commuter
Chevy Bolt,57.38278683911214,San Francisco,2024-01-19 14:00:00,2.6979836302107505,6.135628365900552,17.23212138714825,59.73050776950959,92.28122553520825,31.129209727200905,2,Level 1,Long-Distance Traveler
Chevy Bolt,56.21058550482855,Houston,2024-03-18 03:00:00,2.7625266984738728,43.66023713313682,87.3849004298355,35.8947388533953,100.0,39.25549649665936,4,DC Fast Charger,Casual Driver
BMW i3,46.779089764757046,Los Angeles,2024-03-26 23:00:00,3.2954006507188196,45.851186786439776,96.7876479722497,51.68886780416579,100.0,13.783146171179947,3,DC Fast Charger,Commuter
Nissan Leaf,43.98066832461881,Chicago,2024-02-07 19:00:00,0.5159148066645107,24.973377959174986,16.785603121939562,26.8973276909777,66.99556272954383,18.024087443481157,7,Level 2,Casual Driver
Tesla Model 3,76.199349227855,Chicago,2024-01-08 09:00:00,4.690090290059821,8.412811248867698,28.36897590895701,45.612445752661934,83.01082871715198,31.613115101313845,1,Level 1,Long-Distance Traveler
BMW i3,42.72072169631195,Houston,2024-03-29 23:00:00,2.1265298814854376,15.620621920969313,29.271621915814567,37.39414395430976,100.0,43.130340489644915,4,Level 2,Long-Distance Traveler
Nissan Leaf,35.716697245332945,Los Angeles,2024-02-21 11:00:00,2.2861933807295687,17.517816623592008,32.61189037096251,28.86242667468464,100.0,27.631511424573446,7,Level 2,Commuter
Nissan Leaf,36.31503834671736,New York,2024-03-19 04:00:00,1.2834916138995573,18.448009881654045,18.141123228798904,62.30115696942006,100.0,10.565164759589425,5,Level 2,Long-Distance Traveler
Hyundai Kona,52.04645431812347,New York,2024-01-06 07:00:00,2.201682259816075,21.67981569116792,32.50717529747811,12.326259378679083,73.96519114136271,22.378067236677406,4,Level 2,Commuter
Tesla Model 3,72.99398854577335,San Francisco,2024-01-11 09:00:00,4.117745888492234,36.53477755170877,88.74487709428732,36.65000464074217,100.0,31.5223202211859,4,DC Fast Charger,Casual Driver
Nissan Leaf,43.928706448555985,San Francisco,2024-03-22 17:00:00,4.0999625264999064,5.242185904523319,15.881918336960773,17.63398976229889,58.28816592528299,10.249177191525522,2,Level 1,Commuter
BMW i3,50.12597938064736,New York,2024-03-09 13:00:00,4.711085784029538,15.072092434889637,48.79020024880631,60.96858092914345,100.0,7.059437559928302,8,Level 2,Commuter
Hyundai Kona,62.286540994661756,Chicago,2024-03-13 18:00:00,2.3145326270635813,24.00241067105058,34.036605412361,21.475507406518123,78.34176587090535,15.860203801324536,4,Level 2,Casual Driver
Tesla Model 3,78.93335065607752,Chicago,2024-01-19 10:00:00,3.6892467668686297,6.940650115335471,15.14482909735416,46.17297210726841,63.14669269088211,27.915602581263105,2,Level 1,Commuter
Chevy Bolt,42.86406454283282,San Francisco,2024-03-24 16:00:00,2.782568998434007,6.074904949115261,13.402379027465596,15.761628480548014,46.496874928520704,3.5694290498953727,9,Level 1,Commuter
BMW i3,39.40243007760945,Houston,2024-03-16 16:00:00,4.118102552836089,4.873445438463957,16.143236992468886,31.31938851560438,69.03183987926454,11.683054547941126,7,Level 1,Long-Distance Traveler
Nissan Leaf,37.71818809933368,New York,2024-01-13 13:00:00,3.706439041098486,46.42322838968644,99.9293506812693,63.458217717208676,100.0,23.283918621768073,3,DC Fast Charger,Casual Driver
Nissan Leaf,47.45584157112692,San Francisco,2024-01-14 18:00:00,2.1555631637882406,19.176539421210393,29.507265395265296,15.794188886126129,79.21228242375281,33.086225043785795,7,Level 2,Commuter
BMW i3,44.35760076552851,San Francisco,2024-02-24 23:00:00,2.015032254141616,30.173332762599358,41.76536352378423,48.10772864764208,100.0,23.482528917145224,1,Level 2,Casual Driver
Nissan Leaf,42.47127711440304,New York,2024-01-26 07:00:00,1.635991083625854,57.97615769265416,67.28869222207393,18.29317408613706,100.0,24.496217407192287,1,DC Fast Charger,Casual Driver
Hyundai Kona,67.09629817699295,New York,2024-01-12 05:00:00,3.09432105719887,18.546460370355398,37.679356962153506,32.02368841459078,89.09833050286272,32.05906062859712,4,Level 2,Commuter
Tesla Model 3,75.36354185865777,Chicago,2024-01-22 12:00:00,4.837292832172368,7.330390681904913,38.18782355468081,40.140097484348956,98.45879011097655,39.16709372571574,4,Level 1,Long-Distance Traveler
Hyundai Kona,74.72655731594391,Houston,2024-02-16 22:00:00,1.4003003192790469,26.72104323292998,29.0948178975687,42.52491718233361,83.14165761792552,37.826142642385676,4,Level 2,Casual Driver
Nissan Leaf,30.0,Houston,2024-02-25 11:00:00,0.9286360470694635,18.54492906351856,5.89836415240555,44.163236940955095,61.023587700517396,-4.496339152815736,9,Level 2,Commuter
Chevy Bolt,60.877262452292506,New York,2024-03-06 00:00:00,1.0373028893434113,14.91444629513365,12.343021629400207,46.60854200040995,61.83396137165281,21.176694949614525,6,Level 2,Casual Driver
Tesla Model 3,84.03842281311651,Los Angeles,2024-02-20 07:00:00,4.023944043125675,13.01570739533688,32.450269981488084,22.664965348796837,62.416025947903876,30.950190373017044,3,Level 2,Long-Distance Traveler
Tesla Model 3,59.86885237445881,San Francisco,2024-03-18 10:00:00,2.0754716192805365,28.361334599573038,40.093700747453,31.08888657161534,93.83853912293071,40.39744077225488,6,Level 2,Long-Distance Traveler
BMW i3,47.027507122633814,San Francisco,2024-03-27 06:00:00,1.5096507246157087,6.617875237060165,12.542982567351546,7.425713132379187,31.092930605376875,27.69183933422281,2,Level 1,Long-Distance Traveler
BMW i3,37.4330205524081,New York,2024-03-14 10:00:00,2.0877985326807504,52.33060186299759,69.62486454456874,54.969203474539384,100.0,9.689764425674582,2,DC Fast Charger,Commuter
Chevy Bolt,60.65889557305225,Los Angeles,2024-01-17 22:00:00,3.4039886577328478,5.85152524936188,10.503815140613906,59.41146761627866,79.84743419766147,11.275845578757055,7,Level 1,Commuter
Tesla Model 3,68.75712495243658,Chicago,2024-01-20 12:00:00,2.960542061727277,4.464202163020632,6.363418143308193,17.950389626560458,26.3482266168812,11.61161886884701,3,Level 1,Long-Distance Traveler
Chevy Bolt,65.75491005929413,New York,2024-02-06 16:00:00,3.8461523293455167,4.837398350321804,18.38997369979043,18.09385770092932,42.44290248276101,23.690226575007305,7,Level 1,Commuter
BMW i3,40.2698287126586,New York,2024-03-14 09:00:00,2.0258336681679934,4.317930415414782,11.597236679043569,7.732366142377346,36.091837791003044,14.24213538050655,3,Level 1,Long-Distance Traveler
BMW i3,47.07478113814327,San Francisco,2024-03-18 01:00:00,2.5341285805910845,8.69998882893775,12.781171297567786,68.07494848151168,94.40946621658415,-16.53594598087743,2,Level 1,Commuter
Tesla Model 3,78.48263869011473,New York,2024-02-08 23:00:00,0.9588576603331558,61.9404892666564,27.948891573674423,57.467126927619894,93.43176703051657,5.8605318328587455,4,DC Fast Charger,Long-Distance Traveler
Hyundai Kona,58.44345261158813,New York,2024-03-11 14:00:00,0.8287639071475166,50.29795169980018,23.459138732623693,28.445708188892084,64.97810964548601,14.669010541770454,4,DC Fast Charger,Casual Driver
Nissan Leaf,42.50929595197763,New York,2024-02-27 20:00:00,2.580148592798452,3.9644018135992023,13.801817562861494,36.324037645538645,66.28035304033054,3.6502101209414732,3,Level 1,Long-Distance Traveler
BMW i3,38.01858565192361,San Francisco,2024-03-18 09:00:00,1.857184733506656,7.993168381671216,7.76722020680673,23.977852442306457,47.478586945056165,5.437646622910378,9,Level 1,Long-Distance Traveler
BMW i3,42.38476856303984,Chicago,2024-03-09 01:00:00,3.2576025746125885,9.529969329985086,21.664419942768557,43.82085794093548,97.21830116757295,44.61164756588834,6,Level 1,Commuter
Hyundai Kona,61.8538394695714,Chicago,2024-03-11 23:00:00,0.6935097445005736,8.943333534966788,11.194128871454762,51.62504680167804,73.21501908376848,19.89653727002724,5,Level 1,Commuter
Hyundai Kona,70.29938306472141,New York,2024-01-17 05:00:00,1.0479486991980445,,7.819695237613518,34.078951069471685,39.650888946991394,15.366623487458092,6,Level 1,Commuter
Chevy Bolt,63.241933624424505,San Francisco,2024-02-23 08:00:00,4.3933586499787785,48.12414210698494,139.03800597733448,61.783622563955525,100.0,28.00812113270445,8,DC Fast Charger,Commuter
Chevy Bolt,59.81567070837155,Chicago,2024-03-13 20:00:00,3.0484022968359703,6.925667357580538,16.07673144207056,38.60668104422265,68.45653196155878,33.752833071804616,5,Level 1,Commuter
Nissan Leaf,36.57144111422169,Chicago,2024-02-23 08:00:00,3.7042454016105224,28.12624502488358,62.747296753590405,14.376462490057701,100.0,46.88738797346103,4,Level 2,Commuter
Nissan Leaf,33.65504255084641,Chicago,2024-02-13 12:00:00,4.288874534182831,8.520730855642764,31.880494726591998,45.4489394294467,100.0,40.4644762163613,7,Level 1,Casual Driver
Tesla Model 3,76.08525135432558,San Francisco,2024-03-04 21:00:00,2.587254543275235,46.91394400301358,78.89201970480595,35.04501278400717,100.0,25.21770595550005,5,DC Fast Charger,Long-Distance Traveler
Chevy Bolt,56.206254641089444,San Francisco,2024-01-27 01:00:00,3.9247717278536425,19.945423621048015,45.02944213234647,65.81867110031217,100.0,1.6063051958815322,4,Level 2,Long-Distance Traveler
BMW i3,30.732023054557047,New York,2024-03-21 22:00:00,2.8606351058308594,46.146439610074516,83.80642891246579,30.473104860834376,100.0,7.970211423116126,5,DC Fast Charger,Long-Distance Traveler
Chevy Bolt,52.0198287540225,Houston,2024-01-12 10:00:00,1.5023694662316673,16.676836832238493,17.441301109863577,31.186273044756764,63.368914944152934,15.177698639902236,4,Level 2,Casual Driver
BMW i3,51.7552518332503,Chicago,2024-01-16 13:00:00,2.0194527596042278,9.703676471490772,10.437602984740371,47.30027033580467,69.0518393654786,26.07875846083279,8,Level 1,Long-Distance Traveler
Hyundai Kona,59.38016530507388,Houston,2024-01-15 13:00:00,2.7065769847504737,5.424352504507123,13.903835283491748,39.25410419121782,62.78044419720685,21.131798255341174,8,Level 1,Casual Driver
Chevy Bolt,66.49297666506241,San Francisco,2024-01-16 21:00:00,1.9259849847752184,24.451380328333766,31.57107486658351,29.339242039998265,73.90609058713967,2.323679137058612,1,Level 2,Casual Driver
Hyundai Kona,61.50345190961203,San Francisco,2024-03-14 16:00:00,2.0098746110745425,18.69286180841084,17.804247112810764,69.33533701920582,100.0,0.17898766795378762,3,Level 2,Casual Driver
Nissan Leaf,46.19788817580407,San Francisco,2024-01-17 11:00:00,2.0182677406194487,19.61388058983319,22.382295624688243,24.642058149962097,76.8536378202742,23.108096643004878,4,Level 2,Long-Distance Traveler
Nissan Leaf,45.83582008737189,Houston,2024-03-04 14:00:00,1.0527799048569688,6.772238466554057,17.42670780885069,23.039371479026855,65.02231868087306,21.44048660419305,2,Level 1,Casual Driver
Tesla Model 3,68.39443658479475,San Francisco,2024-01-23 04:00:00,0.8808917324551311,8.090484849668416,9.660392665681876,61.18779585393672,77.33258801993269,17.481477588661882,5,Level 1,Long-Distance Traveler
Chevy Bolt,48.07214599915437,New York,2024-01-11 05:00:00,0.7092321786108695,20.703880591072604,19.71775177673542,5.219241330786108,48.29747939733657,,8,Level 2,Long-Distance Traveler
Hyundai Kona,50.67675666078776,San Francisco,2024-02-26 06:00:00,0.9993031746545153,16.30397414191334,16.10835174872129,18.081455458818997,46.38428342013313,34.96174953073513,2,Level 2,Commuter
BMW i3,37.14803097626576,Los Angeles,2024-01-21 20:00:00,2.0466819146102813,22.095406655395504,36.7339646602802,43.37903473702845,100.0,23.720827239989884,9,Level 2,Commuter
Nissan Leaf,49.44817212778771,Houston,2024-03-11 02:00:00,3.172423126023757,5.46665640161674,16.586171599648644,15.559284309903216,48.59678575393457,8.700195742428841,7,Level 1,Casual Driver
Nissan Leaf,37.9471896253873,Los Angeles,2024-03-01 08:00:00,1.3466611724423403,29.719191534572655,23.707327080580292,69.07725497703323,100.0,42.982635628039375,6,Level 2,Casual Driver
BMW i3,42.87146370044073,San Francisco,2024-03-13 04:00:00,4.49603980701187,6.480110995054822,23.9815304872322,35.172715457406014,89.30990404284317,17.884298208519933,8,Level 1,Long-Distance Traveler
